"凹凸世界第2季预计2017年10月播出,你们开不开心?(记得点赞哦)"
然而有趣的是字幕上附带颜文字君～(￣▽￣～)~
金的技能不弱啊，暴击超高，但是永远打不准
为什么我看不懂啊算了吧？还是不看了(以后不看呕吐世界(凹凸世界)了。
第二季快点更新，同意的点赞
为什么突然觉得格瑞好帅
金蠢萌蠢萌的，挺可爱的。不过我喜欢格瑞。
格瑞老公！！！！？！
太短了，还没小编的鸡鸡长………
为什么地牢没监控
有谁喜欢呆毛姐弟吗
感觉画风好新奇啊！
这个画风有点方啊！！
我记得还有安迷修
一言不合就开打，可以可以很强势啊！
什么也不说，冲着帅哥来的
凯莉你错了，格瑞有金呢！
有没有玩抖音的
卧槽 金小天使.....你你你..你黑化....帅到爆炸！！啊啊啊！本王的花痴啊！
为什么要对付格瑞，心里不开心啊，
"瑞金。
瑞金瑞金瑞金瑞金！"
我一定是中毒了看了不知几遍了！
作为一名假凹凸粉，从来没看过片尾
出来了！好看
这个是侧面在讲一个社会法则
老子完全看不懂啊！！！
漫画不好看这个看着还行，为啥这个晚出三四年。。
金是主角吗？（好了，凑个字）
金。。。我都替你觉得尴尬
为什么第三季还没出，啊啊啊啊啊
看完凹凸漫画版再看动漫版人物傻傻分不清
比漫画版的好看多了
主角好弱，什么时候才能主角变强呀！
我想看格金发糖糖。。。
我是被奇特的画风吸引过来了。
安雷大法好
第二季赶紧出，33集
天呐好可爱啊，画风也太可爱了吧！
好好看。雷狮和安迷修
终于更新了等了这么久
果宝果宝战神草，原天尊
武清区
知道主角这么垃圾还不死吗 因为他有最强的主角光环
第二遍看没有第一遍的感觉，因为知道了结局
丹尼尔大人，我爱你啊！！！
好难看，难看，难看难看。
我居然会点进来看看唉没谁了
瑞金！！！
凹凸的预告哈哈哈哈哈哈哈笑死了
爱凹凸世界
支持瑞金
尽说脏话
为什么更新得那么慢呢？应该快
紫堂幻焕是男的还是女的？
好看吗？
漫展凹凸世界
决赛选手参加比赛！今天hkhjdjakcuasdjdhtrehdaeh
金真的是个智障。
主角厉害不
主角好像没有什么用。
黑化金
超喜欢他的漫画
只有国产良心四字可评
为了安雷来
金和格瑞好牛逼，师气
有人在线观看吗？
支持国漫，最爱国漫
第一集太好玩儿了
什么类型的啊这个动漫
357354378684672576863333333333
很好看么。。。这个。。。
主角真的太蠢，太善良了，而且还不是般。
What happend
谁知道我是看完第二季之后才来看第一季的。
这是什么鬼！
真不知道主角到底是被谁给骗了？
太慢了！！！！！！[惊恐][惊恐]
嘉德罗斯好帅啊！
我喜欢看我要给他评论10000
好看，真的6666666
好少，不够看
有点卡啊
这画质有点厉害
这神一样的颜文字......
歌词太长了
什么时候更新啊
有谁能告诉我结局吗？
第二季什么时候出？
格瑞超美!
很好看要快点更新
什么时侯出第2季？
唉又是给小孩看的动画
呵呵呵呵哈哈哈有些难看风景太差。
jdj
第二遍，依旧吸引人，嗯！！！
凹凸大赛是一个“神使”的阴谋，为了原始的元力
荷兹 HeZ，来访
凹凸为什么要上电视？
好看，但是太短了
这宇宙间没有谁比你更强，我愿意俯首称臣待你加冕为王
